epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5674,1.81345,2.07218,1.19438,0.95194,0.05954,0.51678,0.29057,1.581,2.71355,1.10787,0.000469224,0.000469224,0.000469224
2,22.2497,1.51367,1.31945,1.09909,0.75642,0.65113,0.73436,0.41557,1.52866,1.19161,1.122,0.000936196,0.000936196,0.000936196
3,32.8604,1.47053,1.21231,1.08595,0.78249,0.67474,0.77587,0.46749,1.38875,1.11178,1.05379,0.00139374,0.00139374,0.00139374
4,43.5975,1.41175,1.11649,1.06385,0.86036,0.76311,0.8489,0.54173,1.35151,1.10285,1.0479,0.00138656,0.00138656,0.00138656
5,54.2816,1.36755,1.03566,1.04727,0.91214,0.81436,0.89596,0.5801,1.31727,0.88851,1.0323,0.00137241,0.00137241,0.00137241
6,64.9476,1.31756,0.95842,1.03505,0.93047,0.81738,0.91046,0.61251,1.2139,0.84173,1.00173,0.00135826,0.00135826,0.00135826
7,75.5848,1.30224,0.92503,1.0243,0.926,0.81585,0.91198,0.62679,1.2575,0.84629,1.01094,0.00134412,0.00134412,0.00134412
8,86.0213,1.25651,0.8728,1.01155,0.93764,0.8264,0.92359,0.64202,1.20173,0.78853,0.99633,0.00132997,0.00132997,0.00132997
9,96.536,1.25469,0.85388,1.0113,0.94151,0.87112,0.93641,0.66584,1.10797,0.71911,0.97613,0.00131582,0.00131582,0.00131582
10,107.113,1.222,0.82834,1.00173,0.9169,0.85939,0.93949,0.68521,1.15377,0.73616,0.98553,0.00130168,0.00130168,0.00130168
11,117.681,1.21093,0.79203,0.99889,0.95514,0.86365,0.94252,0.69308,1.12564,0.72343,0.97564,0.00128753,0.00128753,0.00128753
12,128.413,1.15975,0.76739,0.98415,0.90334,0.8617,0.9435,0.68765,1.08356,0.7059,0.96406,0.00127338,0.00127338,0.00127338
13,139.016,1.1815,0.77101,0.98679,0.94421,0.88082,0.94774,0.69173,1.11643,0.71793,0.97445,0.00125923,0.00125923,0.00125923
14,149.76,1.16758,0.76544,0.9855,0.95696,0.89065,0.95709,0.70599,1.05205,0.64939,0.95781,0.00124509,0.00124509,0.00124509
15,160.212,1.15171,0.73405,0.97581,0.9383,0.90022,0.95433,0.69822,1.0601,0.64317,0.94763,0.00123094,0.00123094,0.00123094
16,170.599,1.12017,0.72257,0.97017,0.95074,0.87994,0.95085,0.69782,1.0655,0.66936,0.96096,0.00121679,0.00121679,0.00121679
17,181.033,1.10848,0.698,0.96508,0.95337,0.89289,0.96009,0.72601,0.99516,0.61812,0.94207,0.00120265,0.00120265,0.00120265
18,191.339,1.11102,0.69283,0.96161,0.9584,0.89829,0.96086,0.72602,1.00589,0.59527,0.93889,0.0011885,0.0011885,0.0011885
19,201.626,1.07187,0.67668,0.9549,0.96058,0.90989,0.96589,0.7422,0.97596,0.58572,0.93345,0.00117435,0.00117435,0.00117435
20,211.908,1.09063,0.67801,0.95685,0.95276,0.8993,0.96225,0.74097,0.95797,0.5946,0.92915,0.00116021,0.00116021,0.00116021
21,222.298,1.06611,0.66425,0.95188,0.96648,0.90356,0.96624,0.73936,0.9709,0.58477,0.92675,0.00114606,0.00114606,0.00114606
22,232.561,1.06878,0.66324,0.95105,0.95725,0.90997,0.96457,0.74169,0.96686,0.58374,0.92963,0.00113191,0.00113191,0.00113191
23,243.032,1.06899,0.65894,0.94723,0.96186,0.91239,0.96954,0.75192,0.96269,0.558,0.92078,0.00111776,0.00111776,0.00111776
24,253.448,1.04625,0.6354,0.94519,0.94917,0.91935,0.9687,0.74283,0.97345,0.57536,0.92918,0.00110362,0.00110362,0.00110362
25,263.927,1.04117,0.63121,0.94252,0.95312,0.91326,0.96774,0.73452,1.02158,0.57896,0.93854,0.00108947,0.00108947,0.00108947
26,274.398,1.02949,0.62387,0.94201,0.96691,0.91746,0.97363,0.76531,0.92442,0.54676,0.91166,0.00107532,0.00107532,0.00107532
27,284.884,1.02289,0.62602,0.93996,0.96732,0.91201,0.96978,0.77221,0.93592,0.54787,0.91636,0.00106118,0.00106118,0.00106118
28,295.388,1.01481,0.61709,0.93789,0.96961,0.922,0.97299,0.76735,0.91637,0.52592,0.90901,0.00104703,0.00104703,0.00104703
29,305.803,1.02062,0.61481,0.93815,0.94338,0.92954,0.97365,0.76507,0.93669,0.5561,0.91791,0.00103288,0.00103288,0.00103288
30,316.229,1.01661,0.6147,0.93875,0.96653,0.92651,0.97413,0.77701,0.88653,0.52481,0.90891,0.00101873,0.00101873,0.00101873
31,326.688,1.01215,0.60863,0.93745,0.95956,0.92055,0.97364,0.76456,0.93163,0.5428,0.91865,0.00100459,0.00100459,0.00100459
32,337.094,1.00672,0.60194,0.93042,0.95932,0.923,0.97432,0.7664,0.90544,0.53188,0.90745,0.00099044,0.00099044,0.00099044
33,347.576,0.99911,0.60217,0.92431,0.96446,0.92722,0.97557,0.78623,0.9053,0.53419,0.9083,0.000976293,0.000976293,0.000976293
34,357.992,0.98314,0.59187,0.92608,0.96252,0.92951,0.97646,0.78297,0.89108,0.531,0.90579,0.000962146,0.000962146,0.000962146
35,368.424,0.98379,0.59069,0.92563,0.9657,0.93016,0.97587,0.78433,0.88464,0.52231,0.9069,0.000947999,0.000947999,0.000947999
36,378.885,0.98168,0.58235,0.9202,0.97239,0.92966,0.97855,0.78251,0.88233,0.51907,0.90193,0.000933851,0.000933851,0.000933851
37,389.318,0.97439,0.58044,0.92416,0.97053,0.93051,0.97805,0.79218,0.85425,0.50491,0.8966,0.000919704,0.000919704,0.000919704
38,399.774,0.96438,0.57909,0.92048,0.95548,0.92857,0.97568,0.79944,0.84623,0.49843,0.89005,0.000905557,0.000905557,0.000905557
